gene_id	gene_name	PS240001_53138_CA1_Reg_C_full	PS240007_53145_SUB_Reg_N_full	PS240010_53147_SUB_Bur_N_full	PS240016_53149_CA1_Reg_N_full	PS240019_53150_CA1_Reg_C_full	PS240028_53155_SUB_Reg_N_full	PS240037_53167_SUB_Bur_N_full	PS240046_53114_SUB_Bur_N_full	PS240089_53479_SUB_Bur_N_full	PS240090_54232_CA1_Reg_N_full	PS240091_54232_SUB_Bur_N_full	PS240092_54233_CA1_Reg_N_full	PS240093_54233_SUB_Reg_N_full	PS240094_54238_SUB_Reg_N_full	PS240095_54235_CA1_Reg_N_full	PS240096_54264_SUB_Reg_N_full	PS240097_54235_SUB_Reg_N_full	PS240098_54235_CA1_Reg_N_full	PS240099_54235_SUB_Reg_N_full	PS240100_53612_CA1_Reg_N_full	PS240101_53612_SUB_Reg_N_full	PS240102_53612_SUB_Reg_N_full	PS240103_53451_CA1_Reg_N_full	PS240104_53454_CA1_Reg_N_full	PS240105_53454_SUB_Bur_N_full	PS240106_54237_CA1_Reg_N_full	PS240107_54237_SUB_Bur_N_half	PS240108_54237_SUB_Reg_N_half	PS240109_54237_CA1_Reg_N_half	PS240110_53459_SUB_Reg_N_full
ENSMUSG00000047714	Ppp1r2	65	44045.984	4156	8262.959	5689	2932	5382.99	9896	7082	2654	6805	1661	3167	156.037	6577	8723	3243	8111	3543	927	593	5999	8109	1515	10347	4711	6101	273	2109	10437
ENSMUSG00000047716	Olfr736	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047719	Ubiad1	0	2601	2367	1	0	0	3	0	0	0	0	0	0	15	956	0	0	33	7	26	2730	563	0	0	0	125	0	0	0	0
ENSMUSG00000047720	4922502D21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047721	Bola2	882	804.999	296	0	3508.935	533.003	639.215	2172	259	1599.846	866.884	1318	533	20	626	2489.892	512.063	1341.001	547.856	1925.03	2177.001	771	969	1754	875.499	699.881	538.954	316.999	496.001	1299.001
ENSMUSG00000047728	Ly6g2	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	30
ENSMUSG00000047730	Fcgbp	1	0	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0
ENSMUSG00000047731	Wbp1l	37	0	3	4	0	498	0	0	194	616	1109	0	0	12	336	0	1099.477	0	308	37	191	637	0	339	0	5	1955	0	0	1
ENSMUSG00000047733	Tmem262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
ENSMUSG00000047735	Samd9l	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047746	Fbxo40	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	28	0	0	0	0	0	0	197	0	0	0	0	0	0	0
ENSMUSG00000047747	Rnf150	2108	12010.976	2572	6	183	0	10	698.008	37	46.001	155	917.011	1	54.363	1275	582.013	4	595.029	1246.032	887	1087.054	293.005	78.006	266	437.012	72.002	185	658.022	588.301	3
ENSMUSG00000047749	Zc3hav1l	0	0	0	0	0	0	0	0	1	0	364	0	2	4	181	1090	101	3	818	57	66	4	93	1	291	9	592	0	1009	0
ENSMUSG00000047751	Utf1	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	259	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000047757	Fancb	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047759	Hs3st3a1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	1	0	0
ENSMUSG00000047766	Lrrc49	598	2	2295	293	1173	1758	1284	3860	2725.001	13	2805.999	3517	4	41	1372	3079.001	258	4	492	45	314.928	1241.999	274	2735	2741	9	421	2011	4873	2305
ENSMUSG00000047767	Atg16l2	2124	1	2598	2	3	1330	8	1	1	836.999	426.001	5877.001	1006	752.999	1373	2289.999	914	1	1541	1025	1421.001	330.001	1135	485	1564	1683.001	1671	561	54	0
ENSMUSG00000047773	Ankfn1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000047777	Phf13	0	1	319	0	3344	1000	3	9	0	0	83	0	0	59	1653	0	337	5	0	0	627	657	0	256	0	1	0	54	2141	4550
ENSMUSG00000047786	Lix1	1353	9554.997	20	7	0	1649	1614	0	1	1716	1164	4	2388	3462	1772	3268	2025	1111	1307	902	3747	2683	5637	2407	1312.9	2394	58	3	70	1
ENSMUSG00000047787	Flrt1	1	2	244	1	109	42	498	0	1005	5	40	9	330.297	5	85.15	438	220	31	130	876.733	25	176	0	39	564	14	116	308	32.044	1
ENSMUSG00000047789	Slc38a9	1896.017	3	1877	7	2.002	1101	922.001	730.022	3.254	413.149	263	1.969	1270.01	580.008	2073.022	2557.023	805.462	3	684.004	452.018	190.168	1077.003	3	3	1560.055	525.064	1796.102	1029.006	730	13.001
ENSMUSG00000047793	Sned1	0	0	1	0	0	57.1	0	1	0	263.686	8.508	0	0	2	1	3	0	3	1	0	1.253	1	0	0	0	0	1.193	31.189	1	0
ENSMUSG00000047794	Olfr685	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000047797	Gjb1	0	0	0	0	3	0	0	0	0	1	10	0	0	12	293	283	0	0	2	0	6	492	0	0	0	0	0	6	0	0
ENSMUSG00000047798	Cd300lf	1	1	0	3	0	2	1	1	1	1	0	1	1772.939	2	1	0	470	3	1	0	1	0	0	0	0	0	1	0	0	0
ENSMUSG00000047799	Oog4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047804	Akap10	635	0	0	1	2	499	4	13	920	6	7	1	11	13	309	149	3	2	481	197	93	541	746	223	445	989	1012	0	0	2
ENSMUSG00000047807	9330154K18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	124	0	0	0	0	0	0	0
ENSMUSG00000047810	Ccdc88b	0	0	0	0	0	0	0	0	0	223	0	0	713	2	0	0	0	0	249	10	0	0	0	621.001	0	6	1	0	0	0
ENSMUSG00000047819	Tigd4	0	3	0	1	0	0	0	0	5	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0
ENSMUSG00000047821	Trim16	0	3	0	0	0	0	0	0	1	0	0	1	0	3	0	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0
ENSMUSG00000047822	Angptl8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047824	Pygo2	965	0	300	21	2148	856	6	6306	1609	1	1598	768	777	43	942	2914	677	2083	1280	1065	2950	1516	7	1211	1316.001	1322	21	2578.999	1647	4481
ENSMUSG00000047828	A730018C14Rik	0	2	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047832	Cdca4	0	0.951	0	1	0	0	0	0	0	565	0	0	0	1	0	167	0	1	157	16	65	0	0	0	0	3	629	0	0	4.245
ENSMUSG00000047841	Fndc11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047842	Diras2	10	5944	2166	354	18	1833	323	79	3640	2726	1888	1	42	57	1588	6656	795	861	998	1183	851	2508	2258	459	944	3020	1663	0	1080	3
ENSMUSG00000047843	Bri3	97	315	196	96	421	323	627.789	45	22	465	56	1160	180	5	241.681	752	14	58	386	60	13	389.974	697	17	91.987	101	9	32	643	91
ENSMUSG00000047844	Bex4	1005.162	3484.058	444.933	0	1949.316	1940.116	520.992	1.012	0	425.782	615.22	4.236	0	2.059	243.615	335.877	805.03	1.576	592.843	92.223	1766.898	275.886	0	379.902	1134.913	263.364	4.196	2.05	0	7.052
ENSMUSG00000047854	Stx19	0	0	0	0	0	0	0	101	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	33	0	0	0	0	0	0
ENSMUSG00000047861	Foxi1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047866	Lonp2	4381	0	579	195	0	966	2059	1915	0	1388	1642	3594	81	48	2080.001	1326	1157	4025	669	1662	385.999	1663.999	5102	3126	3073	6165	1566	1514	2708	12
ENSMUSG00000047867	Gimap6	0	0	0	0	0	14	0	1	1	0	1	0	58	0	58	0	0	0	1	70	1	99	0	323	0	15	0	2	0	0
ENSMUSG00000047868	Olfr770	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	2
ENSMUSG00000047875	Gpr157	1	0	1	0	0	25	0	1	0	0	0	1	0	0	0	0	0	0	7	4.033	2	0	0	1	0	31	1	1	0	0
ENSMUSG00000047878	A4galt	0	1	0	333	0	1	0	1	1	0	0	0	0	1	0	120	0	0	0	0	0	0	792	0	0	0	2	0	0	1
ENSMUSG00000047879	Usp14	1921.248	25777.402	6690.121	463.029	8302	6277.407	1800.578	8790.003	2636.236	2513.54	6328.161	10548.228	3427.475	166.77	5524.936	4448.665	4590.095	9923.403	8688.315	4797.699	793.652	4430.822	2819.279	2526.217	8920.185	17446.913	7565.245	1971.966	7862.233	9361.421
ENSMUSG00000047880	Cxcr5	1	0	0	3.001	0	0	0	1	1	0	1	7.751	0	1	2.307	1.101	0	1	3.009	18.046	7	1	4.09	0	0	0	0	4.6	0	1
ENSMUSG00000047881	Rell1	2	7	0	2	0	263	361	515	0	91.509	1	0	0	7	100	132	0	3	0	27	4	181	821	0	131	19.611	0	0	0	0
ENSMUSG00000047884	Klk9	0	0	0	1	0	6	0	0	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000047888	Tnrc6b	1787	11	3326	641	1698	1136.839	1300	5212.189	386	447	2475.074	4431	2327.015	2104	551	4725.691	3826.978	2170.172	1523	264.999	537	607	2556.678	960	1277.044	477	2867	526	2846	7
ENSMUSG00000047889	Serpinb6d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047894	Ang2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000047897	Ripply2	42	0	510	0	0	50	0	0	0	73	257	132	135	378	0	391	472	0	406	33	11	0	0	0	138	10	3	432	0	1
ENSMUSG00000047898	Ccr4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
ENSMUSG00000047904	Sstr2	1	2	2695	1	1.943	1	2	3310	1238	2	443	4	625	2	102	0	313	1	0	0	1871	156	1	894	660	1	1602	1	5	1
ENSMUSG00000047907	Tshz2	1	9	3688	3	0	110	595	183	8.807	284	75	98	821	10	144	1528	1014.997	39	15	24	3375	246	80.021	0	3	170	2820	41	10	6
ENSMUSG00000047909	Ankrd16	0	0	28	1767	1	213	0	2998	1774.999	0	1446.001	1014.999	16	74	1728.999	631.001	2516	0	674.001	516.001	404	988	718.999	1596	1292.001	642	4091.999	1692	1448	5
ENSMUSG00000047910	Pcdhb16	0	0	0	0	2	28	6	788.325	245.051	69	1101.38	0	0	25	1874.768	1	1138	0	0	0	50	531	0	0	2	0	11	1639	1	1
ENSMUSG00000047911	Npm2	66	0	0	64	0	66	3	0	0	0	0	0	0	1	25	0	0	0	1	0	0	39	0	0	0	0	0	0	0	0
ENSMUSG00000047921	Trappc9	1376	1	1689	1643	0	176	399	4153.001	1694	309	746.999	1026	148	22	1735	739	11	16.018	58	90	370	719.001	1260.999	770	1100	544	4118	233	462	2
ENSMUSG00000047935	Sox1ot	0	0	1	0	0	1	0	1.205	0	11	6	0	1	4	23	991.992	0	2	2	0	0	43	1	0	0	0	1	1	0	38
ENSMUSG00000047938	4930483J18Rik	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
ENSMUSG00000047940	Stpg2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000047945	Marcksl1	5	0	0	152	6964.999	372	62	0	1	1742	1927	247	1309	1071	3349	3710.47	2360	2031	3172	1859	45	2236	132	474	7275	5301	2	229	4252.994	4749.999
ENSMUSG00000047953	Gp5	0	0	0	0	0	0	0	0	0	0	0	0	385	0	0	0	1	0	19	23	0	0	0	0	0	147	0	0	1	0
ENSMUSG00000047959	Kcna3	0	0	0	0	11	1906	4	542	0	0	0	0	354	1	43	67	0	0	0	38	17	95.347	506	0	245	16	7	485	0	0
ENSMUSG00000047960	Olfr186	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047963	Stbd1	0	0	927	1	4075	46	3	0	0	0	0	0	0	164	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	3448
ENSMUSG00000047969	Olfr1093	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000047976	Kcna1	2	5577	205	45	1	1842	1501	1	0	256	642	31	960	22	1572	1941	931	12	838	726	42	916	1	334	258.727	66	302	215	576	5.751
ENSMUSG00000047977	Synb	4	7	1	0	2	2	1	16	3	2	1	5	5	2	5	5	9	3	7	3	7	3	3	3.034	4	1	2	4	1	4
ENSMUSG00000047980	Pate5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000047986	Palm3	0	0	0	0	0	0	0	0	0	0	0	1029	0	1	0	1	0	0	3	266	1	0	0	0	1	4	0	0	1201	0
ENSMUSG00000047988	4933428G20Rik	0	0	0	0	0	0	0	0	29	0	0	0	0	1	18	0	0	0	0	0	3	25	0	0	0	0	0	9	0	0
ENSMUSG00000047989	Ino80c	0	0	5	0	72	814	1360	379	0	18	4	2688	743	4	12	29	257	0	179	1369	0	47	0	979	645	1651	0	0	2133	2
ENSMUSG00000047990	C2cd4a	0	0	0	0	0	0	0	1.003	0	0	0	0	3.006	0	0	1.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000047992	Dipk1c	0	3	0	2	0	0	0	0	0	1	1	0	0	1	73	0	0	1	0	0	2	130.986	1	0	837	0	1	14.573	2	0
ENSMUSG00000047995	Cypt4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000047996	Prrg1	1	0	363	0	0	4	1	0	4	1	146	1	0	8	1	4	0	0	2	0	1	1	0	1	3042	14	2	1	0	284
ENSMUSG00000048000	Gigyf2	9337.001	1	4092.62	95.188	3	4811.568	20	3378.001	1202.11	811	1044.33	36	3040.265	21	821	1417	679.692	359.104	4158	1373.353	863	1177.001	649	289	772	1944.854	1982	138	32.999	7682.891
ENSMUSG00000048001	Hes5	0	0	0	76.092	0	237.719	258.744	0	0	0	2	0	232	11	156	1	0	0	0	39.907	0	210	11	0	0	9	0	9	0	0
ENSMUSG00000048003	Catsper4	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000048004	Tmem196	3	0	0	0	0	0	1	0	0	2	17	7057	0	7	209	0	0	0	5	73	4	327	0	0	0	47	0	0	172	0
ENSMUSG00000048007	Timm8a1	36	0	1429	0	2	166	3094	0	0	1389	824	0	1100	4	287	1359	987	23	655	49	33	468	3144	0	1199	7	3	920	420	64
ENSMUSG00000048012	Zfp473	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000048013	Krt35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048015	Neurod4	1160	0	324	0	0	0	0	2524	0	0	0	7	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000048022	Tmem229a	2041	0	0	167	1	4	7363.894	1	1.022	2264	2429	1292	1418	30	899	342	164	604	789	334	15	1503	2190	543	710	1196	71	6	763	5
ENSMUSG00000048027	Rgmb	1317	44	1386	1	756	2374	1878	1704	1	59	1185	44	0	15	1211	381	878	4429	345	194	76	388	2198	818	673	82	306	1591	1	22
ENSMUSG00000048029	Eno4	0	0	0	0	0	266.143	17	0	0	0	0	35.732	0	1	0	3	155	0	35.079	393.493	1	1	21	0	5.057	4.071	12	0	32	0
ENSMUSG00000048031	Fcrl5	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	2	0	1	0	1	0	0	0	0	0	1	0	0
ENSMUSG00000048038	Ccdc187	0	1	0	1	0	0	0	1	0	351	0	0	0	0	2	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0
ENSMUSG00000048039	Isg20l2	2	1	0	1	1	242.055	265	0	0	420.997	73	0	0	0	0	4	0	513	133	240	47.178	0	2.07	581.65	596.896	1602	459.959	0	0	7
ENSMUSG00000048040	Arxes2	1	5	680.243	67	155.212	5237.947	3588.854	830.98	1389.83	2097.591	2691.134	3066.248	2168.714	31.154	1945.357	2369.156	1210.612	4517	2808.01	460.383	176.346	2731.204	3156.588	953	3984.432	1189.4	1639.687	34.675	2431.192	1318
ENSMUSG00000048047	Zbtb33	47.663	0	0	524.998	199.561	0	0	1	1	0	9.637	1	0	1	0	1	22.502	1	5.477	0	1	0	0	0	612.84	5.284	0	0	0	0
ENSMUSG00000048058	Ldlrad3	1289	0	2512	1	0	307	1	1	0	0	4	1.002	903	4	167	150	0	1846	2	3	5	268	0	44	1	1	18	0	1604	3
ENSMUSG00000048062	Fpr-rs4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048065	Cyb5r2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	126.988	0	0	0	0	0	1	235.259	0	0	0	0	0	0	0	0
ENSMUSG00000048067	Olfr1349	1	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000048070	Pirt	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	14	0
ENSMUSG00000048076	Arf1	9220	6	10606.963	4001	12739	8544.863	10607.788	20254.987	4551	11913	8223	13235.784	3755	852	11779	14628.935	3226	7414	10122	8786	791	11268	9072	6783.864	14223.992	16133	4555	4876	14202.742	9826.927
ENSMUSG00000048077	H1fnt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048078	Tenm4	7029.173	1.295	5912.748	604.274	408	2996.553	430	4788.276	3901.693	1289.408	3560.268	2919.001	5147.192	85	7007.001	1696.525	1786	168	2580.001	2800.732	149.732	1024	4534.749	600	1756.999	484.817	962	923.576	3993	2093
ENSMUSG00000048080	Olfr731	2	4	1	1	2	3	1	2	9.698	2.001	3	1	2	1	2	7	1	5.067	2.182	1	0	0	2	3	0	1	2	0	5	1
ENSMUSG00000048087	Gm4737	0	0	0	1	426.363	31.365	130.162	0	0	0	523.303	0	52.169	3.05	81.951	249.577	0	0	92.306	78.765	654.398	171.747	950.208	1.116	2.842	750.806	0	0	0	7.405
ENSMUSG00000048096	Lmod1	0	3	163	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	1	0	0	1	430	0	0
ENSMUSG00000048100	Taf13	2334	0	765	1959	3837	83	4926	198	0	1233	1106	0	2731.999	27	668	621	1354	3457	921	334	61	1114	0	772	883	1841	241	269	0	2
ENSMUSG00000048101	Olfr19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048108	Tmem72	1	4	26	305.01	0	0	2	278	0	0	1	3	4	2	22.772	69.003	0	0	189.019	14.767	3.437	21.868	0	0	0	11	30	17	0	2
ENSMUSG00000048109	Rbm15	974	1	0	1	0	525	232	4	0	577	161	1576	984	14	862	242	3	0	13	417	11	296	0	0	745	10	117	2	3	8
ENSMUSG00000048118	Arid4a	681	0	3022	0	3347	3109	2196	4	350	994	501.999	2059	1722	13	270	1566.001	1788	5149	1072.001	733	77	411.001	349	1656	1003	574	844	5	2519	3
ENSMUSG00000048120	Entpd1	0	0	0	0	0	0	496	0	0	67	25	0	4304	6	93	207	0	0	0	0	6	150	1170	1524.999	0	0	0	0	9	0
ENSMUSG00000048126	Col6a3	0	0	0	0	1	135	0	0	0	0	1	0	0	0	2	1	1274	41	0	0	0	0	0	113	0	0	3	0	0	1
ENSMUSG00000048138	Dmrt2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	1	9	599	0	0
ENSMUSG00000048142	Nat8l	5	5	82	1800	1261	3945	841	2339	946	420	1399	2785	1245	134	1195	549	793	1975	1364	722	1453	631	2181	810	1718	1971	1637	1267	1272	3179
ENSMUSG00000048148	Nwd1	2	0	1	1	0	1	1	1	0	1	42	2	631	2	1	1221	3	2	10	0	0	1	4	0	0	1	0	0	0	2
ENSMUSG00000048153	Olfr49	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	3	0	0	0	2	0
ENSMUSG00000048154	Kmt2d	826	716.014	1866.271	662.265	7.001	1992.111	356.366	45	306	22	1348.658	113	1909	305	242	4973.155	431.198	4	830.003	2248	98.953	401	825.088	2184.291	350	230.129	61.029	900.096	141.022	12.005
ENSMUSG00000048155	H2bfm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048163	Selplg	29.975	22	4	27	2	6	4262	17.534	1486	5267	13	530	19282	12	337.53	576.999	2984	16	1696.001	698.999	635	507	14	17237.998	198	50	835	6	5	20
ENSMUSG00000048170	Mcmbp	3252	2	8	0	10	237	12	464	12	37	1117	1500	1560	10	110	1993.112	4	1	333.999	563	119.001	76	791	8	15	128.207	815	376	5	8
ENSMUSG00000048173	Olfr1324	0	0	0	34	0	1	0	1	0	0	0	0	0	1	0	0	0	159	0	0	0	0	0	1	0	0	0	0	1	1
ENSMUSG00000048174	Tmem81	0	2	397	0	0	219	0	0	0	21	0	0	0	7	152	0	504	0	0	0	5	234	0	2	239	0	0	0	0	0
ENSMUSG00000048175	Asb8	0	37	0	2170	5	2	806	2464	0	998	1166	157	843	695	444	1418	445	718	2285	470	9	838	1831	2123	3331	1912	4	504	564	9346
ENSMUSG00000048185	Gm7075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048186	Bend7	1	0	0	3	0	1272	7	33	0	6	0	0	0	11	159	109	0	14	0	0	3	271	0	0	0	0	1	2	0	0
ENSMUSG00000048191	Muc6	0	1	0	1	0	120	4	0	0	1	0	0	0	5	190	0	6	0	0	6	5	327	0	23	0	0	0	0	0	0
ENSMUSG00000048197	Olfr1153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048200	Cracr2b	1	0	1	0	0	106	0	0	0	332.721	0	0	22	0	0	0	0	0	0	0	1	0	1	2	0	0	0	22	0	0
ENSMUSG00000048206	Dnajb8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000048215	A630023P12Rik	605	0	0	0	0	211	2	0	0	0	0	0	0	0	0	0	236	1	0	0	4	0	0	125	336	0	0	0	0	0
ENSMUSG00000048216	Gpr85	3868.923	30	1422	443	0	710.001	64	744	934	1845	1819	5021.999	863	69	435	1651	172	199	2190	318.001	78	617	135	1157	882	968.001	749	122	4	48
ENSMUSG00000048217	Nags	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048218	Amigo2	0	0	0	2317	0	1	0	0	0	1	0	0	0	3	123	0	0	13	9	10	3	195	0	0	0	1	10	0	0	1
ENSMUSG00000048222	Mfap1b	777.767	0	1115.769	0	6240.014	927.668	1932.442	3168.054	1.341	564.535	1892.157	112.161	25.763	29.784	1254.602	1464.26	467.743	780.427	748.61	485.197	130.378	1059.86	367.931	1320.716	2251.392	3072.986	873.139	138.615	3.213	1682.579
ENSMUSG00000048226	Olfr1212	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000048230	Fbxo43	0	0	0	1	0	2	0	1	0	1	0	1	0	4	0	0	0	0	0	5	3	0	2	1	0	1	1	0	1	0
ENSMUSG00000048231	H2-M10.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000048232	Fbxo10	1287	1	0	1	2736	283	5	1	72	23	236	0	713	2	98	2	292	0	157	37	46	165	0	15	643	51	583	0	0	0
ENSMUSG00000048234	Rnf149	1485.103	16034.503	560.962	0	341.137	289	526.993	217.748	1931.246	65.845	627	1723.891	74.504	71.907	2927.911	1219.887	661.232	8	1231.46	913.348	23	1750.665	2.218	1579.935	1218.308	50.576	3	430	3772.489	3386
ENSMUSG00000048236	Ovch2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048240	Gng7	4802	0	581	144	2912	0	1204	1587	1	8790.999	1813	1	1018	46	1941	781	604	0	4084	566	115	2596	716	117	4252	1053	830	674	0	4
ENSMUSG00000048249	Crebrf	63	7	0	0	1081	2090	3840	8090.999	994	20	2055	27	746	30	1216	2487	585	3574.531	2408	1217	231	1036.999	1155	225	485	59	704	155	1179	10
ENSMUSG00000048251	Bcl11b	1023	383	5676	5689	27	18	394	3188	311	925	3669	647	770.292	52	2632	1806.999	549	1018	2882.001	3031.038	2312.28	4020.001	2106	1292	4830	1874	3850	149	236	9
ENSMUSG00000048264	Dip2c	192	6657	2855	16	0	925	1366	0	15	18	544	48	515	23	706	573	555	424	900	1451.999	58	660	14	507	0	337	768	395	10	670.884
ENSMUSG00000048271	Rbm33	4715	1	6183	4680	1	2622	4	1130	114	32	1503	7	265	652	102	1178	964	2032	2772	1629	1699	214	1649	2120	532	1206	940	25	8	473
ENSMUSG00000048277	Syngr2	0	0	0	0	0	0	0	0	0	0	0	0	1688	11	276	0	432	0	529	30	4	500	0	1847	8	4	0	1	0	2
ENSMUSG00000048279	Sacs	5470	5	2197	1886	3169	1822.001	361	2332	1	418.001	1177.999	373.002	525	48.001	911.109	1452	2700	5	2547	1191	1034.019	89	17	3	1704	447.001	142	972	2656	1203.005
